time_s,value
64.26,1053.82250976562
64.32,1049.81176757812
64.38,1053.82250976562
64.44,1048.80908203125
64.5,1048.80908203125
64.56,1049.81176757812
64.62,1047.80639648438
64.68,1050.814453125
64.74,1048.80908203125
64.8,1045.80102539062
64.86,1045.80102539062
64.92,1043.79565429688
64.98,1042.79296875
65.04,1046.8037109375
65.1,1047.80639648438
65.16,1059.83862304688
65.22,1070.8681640625
65.28,1077.88696289062
65.34,1083.90307617188
65.4,1082.900390625
65.46,1087.91381835938
65.52,1087.91381835938
65.58,1088.91650390625
65.64,1091.92456054688
65.7,1086.9111328125
65.76,1092.92724609375
65.82,1097.94067382812
65.88,1096.93798828125
65.94,1098.943359375
66,1100.94873046875
66.06,1099.94604492188
66.12,1100.94873046875
66.18,1094.9326171875
66.24,1097.94067382812
66.3,1095.93530273438
66.36,1095.93530273438
66.42,1097.94067382812
66.48,1099.94604492188
66.54,1104.95947265625
66.6,1100.94873046875
66.66,1101.95141601562
66.72,1099.94604492188
66.78,1096.93798828125
66.84,1098.943359375
66.9,1092.92724609375
66.96,1098.943359375
67.02,1098.943359375
67.08,1099.94604492188
67.14,1099.94604492188
67.2,1102.9541015625
67.26,1101.95141601562
67.32,1097.94067382812
67.38,1099.94604492188
67.44,1097.94067382812
67.5,1096.93798828125
67.56,1095.93530273438
67.62,1095.93530273438
67.68,1103.95678710938
67.74,1101.95141601562
67.8,1099.94604492188
67.86,1101.95141601562
67.92,1100.94873046875
67.98,1100.94873046875
68.04,1094.9326171875
68.1,1096.93798828125
68.16,1097.94067382812
68.22,1108.97021484375
68.28,1121.00244140625
68.34,1129.02392578125
68.4,1133.03466796875
68.46,1133.03466796875
68.52,1134.03735351562
68.58,1136.04272460938
68.64,1135.0400390625
68.7,1138.04809570312
68.76,1146.06958007812
68.82,1150.08032226562
68.88,1149.07763671875
68.94,1142.05883789062
69,1143.0615234375
69.06,1140.05346679688
69.12,1147.072265625
69.18,1151.0830078125
69.24,1150.08032226562
69.3,1148.07495117188
69.36,1146.06958007812
69.42,1145.06689453125
69.48,1145.06689453125
69.54,1150.08032226562
69.6,1153.08837890625
69.66,1150.08032226562
69.72,1150.08032226562
69.78,1146.06958007812
69.84,1143.0615234375
69.9,1145.06689453125
69.96,1151.0830078125
70.02,1154.09106445312
70.08,1155.09375
70.14,1146.06958007812
70.2,1146.06958007812
70.26,1143.0615234375
70.32,1149.07763671875
70.38,1151.0830078125
70.44,1150.08032226562
70.5,1147.072265625
70.56,1148.07495117188
70.62,1147.072265625
70.68,1144.06420898438
70.74,1148.07495117188
70.8,1150.08032226562
70.86,1150.08032226562
70.92,1147.072265625
70.98,1147.072265625
71.04,1142.05883789062
71.1,1149.07763671875
71.16,1156.09643554688
71.22,1170.13403320312
71.28,1174.14477539062
71.34,1177.15283203125
71.4,1182.16625976562
71.46,1181.16357421875
71.52,1189.18505859375
71.58,1191.1904296875
